epoch, inception_score 
0, 2.9
1, 2.82
2, 3.16
3, 3.29
4, 3.52
5, 3.92
6, 3.72
7, 3.99
8, 4.34
9, 4.13
10, 4.18
11, 4.1
12, 4.35
13, 4.58
14, 4.85
15, 4.7
16, 4.81
17, 4.89
18, 4.98
19, 4.93
20, 4.97
21, 5.02
22, 5.24
23, 5.14
24, 4.95
25, 5.12
26, 5.14
27, 5.1
28, 5.2
29, 5.32
30, 5.28
31, 5.0
32, 5.27
33, 5.32
34, 5.28
35, 5.11
36, 5.15
37, 5.42
38, 5.26
39, 5.04
40, 5.14
41, 4.98
42, 4.98
43, 5.71
44, 5.37
45, 5.17
46, 5.16
47, 5.44
48, 5.47
49, 4.92
