epoch, inception_score 
0, 2.47
1, 2.48
2, 2.81
3, 2.59
4, 2.47
5, 3.13
6, 2.97
7, 3.16
8, 3.22
9, 3.24
10, 3.3
11, 3.2
12, 3.27
13, 3.56
14, 3.53
15, 3.38
16, 3.59
17, 3.47
18, 3.41
19, 3.56
20, 3.55
21, 3.59
22, 3.9
23, 3.76
24, 3.82
25, 3.89
26, 3.84
27, 4.07
28, 4.06
29, 4.07
30, 3.93
31, 4.05
32, 3.93
33, 4.11
34, 4.21
35, 4.12
36, 4.14
37, 4.13
38, 3.93
39, 4.18
40, 4.0
41, 4.06
42, 3.97
43, 3.84
44, 4.13
45, 4.16
46, 4.19
47, 4.33
48, 4.12
49, 4.26
